23958,512,8
23968,512,513,8
23978,512,513,8
23988,512,513,8
23998,512,512,8
24008,513,512,8
24018,512,512,8
24028,513,512,8
24038,512,513,8
24048,512,513,8
24058,512,512,8
24068,513,512,8
24078,512,513,8
24088,513,512,8
24098,512,512,8
24108,513,512,8
24118,512,513,8
24128,512,512,8
24138,512,512,8
24148,513,512,8
24158,513,512,8
24168,513,512,8
24178,512,513,7
24189,512,512,8
24199,513,512,8
24209,513,512,8
24220,512,512,8
24230,512,513,8
24240,512,511,8
24250,512,512,8
24260,512,513,8
24270,512,512,8
24280,512,513,8
24290,513,512,8
24301,511,513,8
24311,512,513,8
24321,513,512,8
24331,513,512,8
24341,512,512,8
24351,513,512,8
24362,512,512,8
24372,512,512,7
24383,512,513,8
24393,512,512,8
24403,512,513,8
24413,512,513,8
24423,512,513,8
24434,512,513,8
24444,512,512,7
24454,512,512,8
24464,512,512,8
24474,513,512,7
24484,512,513,8
24495,513,512,8
24505,512,514,8
24515,512,512,7
24525,513,512,8
24535,513,512,7
24546,513,513,7
24556,512,512,8
24566,513,512,8
24576,512,514,8
24586,512,513,8
24597,512,513,8
24607,512,512,8
24621,512,512,8
24637,512,513,8
24653,512,512,8
24669,512,512,7
24684,513,512,8
24700,513,512,8
24716,512,512,8
24732,512,513,8
24747,513,512,8
24763,513,512,8
24779,512,513,8
24794,513,512,8
24810,512,513,8
24826,513,512,8
24842,513,513,8
24857,512,512,8
24873,512,513,8
24889,513,512,8
24905,512,512,7
24920,512,513,8
24936,512,512,7
24952,512,512,8
24967,512,512,8
24983,512,513,8
24999,513,512,8
25015,513,512,8
25030,512,512,8
25046,512,513,8
25062,512,512,8
25078,512,512,8
25093,513,512,8
25109,512,513,8
25125,513,512,8
25141,512,513,7
25156,512,512,8
25172,512,513,8
25188,513,512,8
25203,512,512,8
25219,513,512,8
25235,513,512,8
25251,511,513,8
25266,513,512,8
25282,513,512,8
25298,512,513,8
25314,513,512,8
25329,512,512,8
25345,512,513,8
25361,513,512,8
25376,512,512,8
25392,512,512,8
25408,512,513,8
25424,513,512,8
25439,512,512,8
25455,512,513,8
25471,512,513,8
25486,512,513,8
25502,512,512,8
25518,511,512,8
25534,513,512,8
25549,512,512,8
25565,512,512,8
25581,512,513,8
25597,512,513,8
25612,512,513,8
25628,512,512,8
25644,512,512,8
25659,512,512,8
25675,512,512,8
25691,513,512,8
25707,512,513,8
25722,513,512,8
25738,512,513,8
25754,513,512,8
25770,512,513,8
25785,512,512,8
25801,512,513,8
25817,512,513,8
25833,512,512,8
25848,512,512,8
25864,513,512,7
25880,512,513,8
25895,512,513,8
25911,513,512,8
25927,512,512,8
25943,512,513,8
25958,512,512,8
25974,513,512,8
25990,512,513,8
26006,513,512,8
26021,512,513,8
26037,512,512,8
26053,512,513,8
26068,513,512,7
26084,512,513,8
26100,512,512,8
26116,513,512,8
26131,513,512,8
26147,513,512,8
26163,513,512,8
26179,512,513,8
26194,513,512,8
26210,512,512,8
26226,512,512,8
26241,512,512,8
26257,512,512,8
26273,513,512,8
26289,513,512,8
26304,513,512,8
26320,512,512,8
26336,512,513,8
26352,512,512,8
26367,512,513,8
26383,512,512,8
26399,513,512,8
26414,513,512,8
26430,513,512,8
26446,513,513,8
26462,511,513,8
26477,513,512,8
26493,513,512,8
26509,513,512,8
26525,513,512,8
26540,512,513,8
26556,512,513,8
26572,511,513,8
26587,512,512,7
26603,512,513,8
26619,511,513,8
26635,513,512,8
26650,513,512,8
26666,513,512,8
26682,512,513,8
26698,513,512,8
26713,512,512,8
26729,512,513,8
26745,513,512,8
26760,513,512,8
26776,512,513,8
26792,512,512,8
26808,512,512,8
26823,513,513,8
26839,512,512,8
26855,513,512,8
26871,513,512,8
26886,513,512,8
26902,512,512,8
26918,512,513,8
26933,512,512,8
26949,512,513,8
26965,512,512,8
26981,513,512,7
26996,513,512,8
27012,511,513,8
27028,513,512,8
27044,513,513,8
27059,512,512,8
27075,512,513,8
27091,513,512,7
27106,513,512,8
27122,512,512,8
27138,512,513,8
27154,512,513,8
27169,513,512,8
27185,512,512,8
27201,512,513,8
27217,512,512,8
27232,513,513,8
27248,511,513,8
27264,512,513,8
27279,512,513,8
27295,512,512,8
27311,513,513,8
27327,511,513,8
27342,512,513,8
27358,513,512,8
27374,512,512,8
27390,511,513,8
27405,512,513,8
27421,512,513,8
27437,513,512,8
27453,512,512,8
27468,512,512,8
27484,513,512,8
27500,511,513,8
27515,512,512,8
27531,512,512,8
27547,512,513,8
27563,512,512,8
27578,513,512,7
27594,512,512,8
27610,512,512,8
27626,512,513,8
27641,513,512,8
27657,512,512,8
27673,513,513,8
27688,512,512,8
27704,512,512,8
27720,512,512,8
27736,512,513,8
27751,512,513,8
27767,513,512,8
27783,512,512,8
27799,512,513,8
27814,512,513,8
27830,512,513,8
27846,513,512,8
27861,512,512,8
27877,513,512,8
27893,512,512,8
27909,512,513,8
27924,512,512,8
27940,513,512,8
27956,512,513,8
27972,512,512,8
27987,512,512,8
28003,512,512,8
28019,513,512,8
28034,512,513,8
28050,512,512,8
28066,514,512,7
28082,513,512,8
28097,513,513,8
28113,513,512,8
28129,512,513,8
28145,512,512,8
28160,512,513,8
28176,512,513,8
28192,513,512,8
28207,513,512,8
28223,513,512,8
28239,511,513,8
28255,513,512,8
28270,512,512,8
28286,512,513,8
28302,512,513,8
28318,512,513,8
28465,512,512,8
28475,513,512,8
28485,513,512,8
28496,512,513,8
28506,512,513,8
28517,511,513,8
28529,513,513,8
28539,512,513,8
28551,512,512,8
28562,513,512,8
28572,511,513,8
28584,513,512,8
28867,512,512,8
28878,512,512,8
28888,513,512,7
28898,512,512,8
28908,511,513,8
28918,513,512,8
28928,512,512,8
28938,513,512,8
28948,513,512,8
28958,513,512,8
28968,513,512,8
29002,512,513,8
29012,512,512,8
29022,512,513,8
29032,513,512,8
29042,512,513,8
29052,513,512,8
29062,512,512,8
29072,512,513,8
29082,512,513,8
29092,512,513,8
29102,513,512,8
29112,512,513,8
29122,513,512,8
29132,513,512,8
29142,513,512,8
29152,513,512,8
29162,512,513,8
29172,513,512,8
29183,512,512,8
29193,512,513,8
29203,512,513,8
29213,512,512,8
29224,512,513,8
29234,512,512,8
29244,512,513,9
29254,513,512,8
29264,512,513,8
29274,512,512,8
29284,512,512,8
29294,512,512,8
29305,512,512,8
29315,513,512,8
29325,511,513,8
29335,512,512,8
29345,512,513,8
29356,513,512,8
29366,513,512,8
29376,512,513,9
29386,513,512,8
29396,513,512,8
29406,512,512,8
29416,512,512,8
29427,513,513,8
29437,512,512,9
29447,512,513,9
29457,513,512,8
29467,512,512,8
29477,512,513,9
29487,513,512,8
29498,512,513,8
29508,513,513,8
29518,512,513,8
29528,513,512,9
29538,512,512,8
29549,512,513,8
29560,513,512,8
29576,512,512,8
29592,512,513,8
29607,512,513,9
29623,511,513,9
29639,512,512,8
29654,513,512,8
29670,512,512,8
29686,513,512,9
29702,513,513,8
29717,513,512,8
29733,513,512,8
29749,512,513,9
29765,512,513,9
29780,512,512,8
29796,512,513,8
29812,512,512,8
29827,512,513,8
29843,513,513,9
29859,512,512,8
29875,512,513,8
29890,512,513,8
29906,512,513,8
29922,512,513,9
29938,513,512,8
29953,512,513,9
29969,513,512,8
29985,512,512,8
30000,512,513,8
30016,513,512,8
30032,513,512,8
30048,512,513,9
30063,513,512,8
30079,512,513,9
30095,512,512,8
30111,513,512,8
30126,513,512,9
30142,513,512,9
30158,513,512,8
30173,512,513,8
30189,513,512,9
30205,512,511,9
30221,513,512,8
30236,511,513,9
30252,512,513,9
30268,513,512,8
30284,512,513,9
30299,512,513,9
30315,512,513,9
30331,513,512,8
30346,512,512,8
30362,512,513,8
30378,513,512,8
30394,513,512,9
30409,512,513,9
30425,512,513,9
30441,512,513,9
30457,511,513,9
30472,512,513,8
30488,512,512,8
30504,513,513,9
30519,512,511,8
30535,512,513,8
30551,512,513,8
30567,512,513,9
30582,512,513,9
30598,512,513,8
30614,512,513,9
30630,512,512,8
30645,513,512,8
30661,512,512,8
30677,513,512,8
30692,512,513,9
30708,513,512,8
30724,512,513,8
30740,513,512,8
30755,512,512,8
30771,512,513,9
30787,512,513,8
30803,512,513,8
30818,512,513,8
30834,512,513,8
30850,513,512,8
30865,512,513,8
30881,512,513,9
30897,512,512,8
30913,513,512,8
30928,513,512,8
30944,512,513,8
30960,512,513,8
30976,513,512,8
30991,513,512,9
31007,512,513,8
31023,512,513,8
31038,513,512,8
31054,512,512,9
31070,512,512,8
31086,513,512,9
31101,512,513,8
31117,512,512,8
31133,512,512,8
31149,512,513,8
31164,513,513,8
31180,512,513,8
31196,513,512,8
31212,512,511,8
31227,513,512,9
31243,512,512,9
31259,513,512,9
31274,512,512,8
31290,512,512,8
31306,513,512,8
31322,512,512,8
31337,513,512,9
31353,512,512,9
31369,513,512,8
31385,513,512,8
31400,513,512,8
31416,513,512,8
31432,513,513,8
31447,512,512,8
31463,512,512,8
31479,512,512,9
31495,513,512,9
31510,512,513,8
31526,512,512,8
31542,512,513,9
31558,512,513,9
31573,512,512,8
31589,512,512,8
31605,513,512,8
31620,512,512,8
31636,512,513,8
31652,512,512,8
31668,513,512,9
31683,512,512,8
31699,512,513,9
31715,512,512,8
31731,513,512,8
31746,512,513,8
31762,512,512,8
31778,512,513,9
31793,513,512,8
31809,512,513,8
31825,513,512,8
31841,513,512,9
31856,512,512,9
31872,513,512,8
31888,513,512,8
31904,513,512,8
31919,513,513,8
31935,512,513,8
31951,513,512,9
31966,514,512,9
31982,512,513,8
31998,512,513,9
32014,513,512,8
32029,512,513,8
32045,512,512,8
32061,512,513,8
32077,512,512,8
32092,512,513,8
32108,512,513,9
32124,512,513,9
32139,512,513,9
32155,512,513,9
32171,513,512,8
32187,512,513,9
32202,511,513,9
32218,512,512,8
32234,513,512,8
32250,512,513,9
32265,513,512,9
32281,512,513,8
32297,513,512,9
32312,513,512,9
32328,512,512,8
32344,512,513,9
32360,513,512,8
32375,512,512,9
32391,512,512,8
32407,513,512,9
32423,512,512,9
32438,512,512,8
32454,512,512,8
32470,512,512,8
32485,512,513,9
32501,514,512,8
32517,512,512,9
32533,513,512,9
32548,512,513,9
32564,513,512,8
32580,512,513,9
32596,513,513,9
32611,512,513,9
32627,511,513,9
32643,512,513,9
32658,512,513,9
32674,513,512,8
32690,512,513,9
32706,513,512,8
32721,513,512,9
32737,512,512,8
32753,512,513,9
32769,512,513,9
32784,512,513,9
32800,513,512,8
32816,512,512,9
32831,513,512,9
32847,513,513,8
32863,512,512,8
32879,513,512,9
32894,512,512,9
32910,512,512,8
32926,513,512,9
32942,513,512,9
32957,513,512,9
32973,512,512,9
32989,513,512,9
33004,513,512,8
33020,512,513,9
33036,513,512,9
33052,512,513,9
33067,512,513,8
33083,512,512,9
33099,512,513,8
33115,513,512,9
33130,513,512,8
33146,512,512,8
33162,512,513,8
33178,512,512,9
33193,512,513,9
33209,513,512,8
33225,512,512,9
33240,513,512,8
33256,513,512,9
33272,513,512,9
33288,512,512,9
33303,512,513,9
33319,511,513,9
33335,513,512,9
33351,513,512,8
33366,512,512,9
33382,512,513,9
33398,512,513,9
33413,512,513,9
33429,512,513,9
33445,512,512,9
33461,512,512,9
33476,512,513,9
33492,513,512,9
33508,512,513,9
33524,512,512,9
33539,512,512,8
33555,513,512,8
33571,513,512,9
33586,512,513,9
33602,512,513,8
33618,512,512,8
33634,513,513,8
33649,512,513,9
33665,512,513,9
33681,513,512,8
33697,513,512,9
33712,512,513,9
33728,513,512,9
33744,512,513,9
33759,513,513,8
33775,512,513,9
33791,512,513,8
33807,513,512,8
33822,513,513,8
33838,512,512,8
33854,512,512,8
33870,515,512,9
33885,512,513,9
33901,513,512,8
33917,512,513,9
33932,512,513,9
33948,511,513,9
33964,513,513,9
33980,513,512,8
33995,511,512,9
34011,512,513,9
34027,513,512,8
34043,512,513,9
34058,512,513,9
34074,512,512,8
34090,513,512,8
34105,512,512,9
34121,512,513,8
34137,512,512,9
34153,513,512,9
34168,512,513,8
34184,513,512,8
34200,511,512,9
34216,513,512,9
34231,513,513,9
34247,511,512,9
34263,512,513,9
34278,512,512,8
34294,512,512,9
34310,512,513,9
34326,512,512,9
34341,513,512,9
34357,513,513,8
34373,512,512,8
34389,512,512,8
34404,512,513,9
34420,512,512,9
34436,512,512,9
34451,511,512,9
34467,512,512,9
34483,513,512,8
34499,512,512,9
34514,512,512,8
34530,512,512,8
34546,512,512,9
34562,512,512,8
34577,513,512,8
34593,511,512,8
34609,513,513,8
34624,512,512,8
34640,512,513,8
34656,512,513,8
34672,513,512,9
34687,512,512,9
34703,512,512,9
34719,513,512,9
34735,513,512,8
34750,512,513,8
34766,512,512,8
34782,513,512,8
34798,513,513,8
34813,512,513,9
34829,513,513,8
34845,513,512,9
34860,512,512,9
34876,513,512,9
34892,513,513,9
34908,512,512,9
34923,512,512,9
34939,513,512,9
34955,512,513,8
34970,512,512,9
34986,513,513,9
35002,511,513,9
35018,512,513,9
35033,511,513,9
35049,513,512,9
35065,513,512,9
35081,513,512,9
35096,512,512,8
35112,513,512,8
35128,512,512,8
35144,512,513,8
35159,513,512,9
35175,512,513,9
35191,513,512,9
35206,513,513,9
35222,511,513,9
35238,513,512,9
35254,513,512,9
35269,511,513,9
35285,513,512,8
35301,512,512,8
35317,512,512,9
35332,513,513,9
35348,512,512,9
35364,511,512,9
35379,513,512,8
35395,512,512,8
35411,512,512,8
35427,513,512,9
35442,512,512,8
35458,512,513,9
35474,512,512,8
35490,513,513,9
35505,512,513,9
35521,513,512,9
35537,513,513,9
35552,513,512,9
35568,511,513,8
35584,512,511,9
35600,513,513,8
35615,512,513,9
35631,512,513,9
35647,511,511,9
35663,512,512,8
35678,512,512,8
35694,512,512,8
35710,512,512,9
35725,511,513,9
35741,512,512,9
35757,513,512,8
35773,512,512,9
35788,512,513,9
35804,513,513,9
35820,513,512,9
35836,512,513,9
35851,512,513,8
35867,513,512,8
35883,512,513,8
35898,511,512,8
35914,510,513,9
35930,518,513,8
35946,511,514,9
35961,517,513,9
35977,513,511,9
35993,512,512,9
36009,515,512,8
36024,515,512,8
36040,514,512,8
36056,511,512,9
36071,511,512,9
36087,512,512,8
36103,513,512,9
36119,506,512,9
36150,513,513,8
36166,511,512,8
36182,506,511,8
36197,523,513,8
36213,529,511,9
36230,522,512,10
36246,507,513,10
36260,513,512,9
36276,513,512,8
36292,514,513,9
36309,514,513,10
36324,510,512,10
36340,510,512,10
36355,514,512,9
36371,514,512,9
36386,514,513,9
36402,512,512,9
36418,514,512,9
36433,514,512,8
36449,517,512,8
36481,509,513,8
36496,517,512,8
36512,515,512,8
36528,515,511,8
36544,510,512,9
36559,510,513,9
36591,510,513,8
36607,510,512,8
36622,512,512,9
36638,512,512,9
36654,510,513,9
36669,511,513,9
36685,508,512,9
36701,509,512,9
36717,513,512,8
36732,511,512,8
36748,516,512,9
36764,520,512,9
36780,515,512,7
36795,512,512,8
36811,518,511,9
36827,516,512,9
36842,511,513,8
36858,510,513,9
36874,511,512,9
36891,516,512,11
36922,513,512,10
36937,512,513,9
36953,516,512,8
36968,517,512,8
36984,516,513,9
37000,517,512,7
37031,513,512,9
37047,520,512,9
37063,512,513,9
37078,511,512,8
37094,515,512,8
37110,515,513,9
37126,507,512,9
37141,509,513,9
37157,504,513,9
37173,511,512,8
37189,513,513,8
37205,513,512,10
37220,511,512,9
37237,510,513,10
37253,507,512,10
37267,504,514,9
37283,512,513,9
37299,509,513,8
37315,520,513,8
37330,516,512,9
37346,504,513,8
37362,514,511,9
37378,506,513,10
37393,514,512,9
37409,512,512,9
37426,509,512,10
37441,513,512,10
37456,514,513,9
37473,513,513,10
37489,513,512,10
37503,518,513,9
37519,519,513,9
37535,518,513,9
37551,518,512,9
37566,509,513,9
37582,518,512,8
37598,513,512,8
37614,511,511,8
37629,514,513,8
37645,508,511,9
40335,512,9
40345,
40355,514,512,9
40365,,512,10
40375,510,512,10
40385,507,512,10
40395,508,511,10
40405,513,513,9
40416,516,512,9
40427,518,513,9
40438,527,512,9
40448,500,512,9
40527,13,512,9
40537,2,10
40547,506,514,10
40558,512,514,10
40568,516,513,9
40578,519,512,9
40588,508,512,9
40598,508,513,9
40608,516,512,10
40618,517,513,11
40629,515,512,9
40639,519,511,9
40649,516,512,9
40659,518,513,10
40669,514,513,10
40679,510,513,10
40689,514,512,8
40699,516,511,8
40709,500,511,10
40719,499,512,11
40729,510,512,11
40739,512,512,11
40749,514,512,10
40759,516,514,10
40769,509,513,9
40779,507,513,9
40789,503,513,9
40799,511,512,8
40809,531,511,9
40819,527,513,9
40830,498,512,10
40840,512,512,9
40850,504,512,8
40860,495,512,9
40870,499,512,10
40880,507,512,11
40890,516,512,10
40900,519,513,11
40910,526,512,9
40920,500,513,10
40930,522,513,10
40940,507,513,9
40950,524,513,10
40960,519,512,10
40970,509,512,9
40980,515,512,9
40990,510,513,9
41000,509,513,10
41010,508,513,9
41020,509,513,10
41030,510,513,10
41040,510,512,10
41050,510,514,10
41060,506,512,10
41070,518,513,10
41080,512,513,10
41090,508,512,9
41100,537,521,10
41110,513,517,9
41120,519,516,9
41130,516,515,9
41142,516,509,10
41157,511,512,10
41173,504,512,10
41189,522,522,10
41204,531,516,9
41219,528,516,9
41235,518,516,9
41252,518,515,10
41267,513,510,9
41283,507,514,10
41298,514,513,9
41315,506,512,10
41331,511,513,10
41346,506,513,10
41362,509,512,10
41378,510,514,10
41394,514,512,10
41410,512,513,10
41425,515,513,10
41440,514,513,9
41457,521,511,10
41472,512,512,9
41487,516,511,9
41503,521,512,9
41519,514,512,9
41534,511,512,9
41551,505,512,10
41567,517,513,10
41582,506,513,9
41599,509,513,10
41614,508,512,10
41629,516,512,9
41645,514,513,9
41662,514,513,10
41677,513,512,10
41693,507,512,10
41709,506,512,10
41724,510,512,9
41740,506,512,10
41755,510,513,9
41771,512,512,9
41787,528,512,9
41802,502,511,9
41819,511,513,10
41835,507,513,10
41851,509,513,10
41866,510,511,10
41882,509,513,10
41898,516,513,10
41914,511,513,10
41929,505,512,11
41945,514,513,10
41961,518,512,10
41976,521,512,9
41992,520,513,10
42007,520,513,9
42023,516,513,9
42039,506,512,9
42054,519,512,9
42070,509,511,8
42086,513,512,8
42102,514,514,9
42118,512,512,10
42134,510,513,10
42150,505,514,10
42165,507,512,9
42180,513,512,9
42197,513,513,10
42213,511,512,10
42229,512,513,10
42244,510,513,10
42260,509,511,10
42276,508,513,10
42291,509,512,9
42306,509,513,9
42323,519,513,10
42339,512,512,10
42354,504,512,8
42369,526,513,8
42385,498,513,9
42402,520,512,10
42418,505,513,10
42434,510,512,10
42449,511,512,10
42465,518,512,10
42481,512,512,10
42497,505,513,10
42512,509,512,11
42528,520,513,10
42543,514,512,9
42559,523,512,9
42574,517,512,9
42590,520,512,9
42607,511,513,10
42623,512,512,10
42637,521,511,9
42653,510,513,8
42669,515,511,9
42686,511,513,10
42701,508,513,10
42716,509,512,9
42733,508,513,10
42749,511,512,10
42763,507,513,9
42779,512,512,9
42796,512,513,10
42812,513,513,11
42827,510,513,10
42842,506,512,9
42858,506,512,9
42874,512,513,9
42890,514,512,10
42906,522,513,10
42921,514,513,9
42937,506,512,9
42952,514,512,8
42969,519,513,10
42985,503,512,10
43000,510,512,9
43016,512,512,10
43032,514,513,10
43048,515,512,10
43064,506,511,12
43079,509,512,12
43095,513,512,11
43110,518,513,9
43127,527,513,10
43141,520,512,9
43157,512,512,8
43173,522,512,9
43189,509,513,9
43204,515,512,9
43220,512,512,8
43236,515,513,9
43252,512,512,9
43267,511,512,9
43284,508,511,11
43300,507,512,10
43316,510,513,10
43330,511,513,9
43346,512,512,9
43363,511,512,10
43379,511,514,11
43394,511,511,10
43410,505,513,10
43425,506,512,9
43441,512,512,9
43456,515,512,8
43472,516,512,9
43488,508,513,9
43504,491,512,9
43520,521,513,10
43536,518,512,10
43552,516,512,10
43568,512,512,10
43583,508,513,11
43599,512,512,10
43615,519,512,10
43631,509,512,10
43646,504,513,11
43662,516,512,11
43678,514,512,10
43694,524,512,10
43708,523,513,9
43724,512,512,9
43740,518,512,9
43757,511,513,10
43771,505,512,9
43787,512,513,9
43803,508,512,9
43819,514,513,9
43835,510,513,10
43851,507,512,10
43867,508,513,10
43882,507,514,9
43897,510,513,9
43914,512,512,10
43930,514,512,11
43946,510,514,11
43962,509,513,10
43977,510,511,10
43993,507,512,10
44009,509,513,10
44025,514,511,10
44040,529,513,10
44055,513,512,9
44072,508,513,10
44087,495,512,9
44103,527,512,13
44119,507,513,10
44135,510,511,10
44151,502,513,10
44166,513,513,10
44182,523,512,10
44198,511,512,10
44214,506,511,10
44230,510,512,10
44245,514,513,11
44260,519,512,9
44276,524,512,9
44292,516,513,9
44307,513,512,9
44324,513,513,10
44340,520,511,10
44354,511,513,9
44370,511,512,9
44386,516,512,7
44402,514,512,9
44418,506,512,10
44434,505,513,12
44450,508,513,10
44466,511,512,10
44481,509,513,9
44496,510,513,9
44513,513,512,11
44529,514,511,12
44544,511,513,9
44559,508,512,9
44576,507,512,10
44592,514,513,10
44608,517,512,10
44622,522,512,9
44639,515,512,10
44654,503,513,9
44670,517,513,9
44685,516,512,9
44702,518,513,11
44718,495,512,11
44734,518,512,10
44749,518,512,10
44765,512,513,12
44781,508,512,11
44796,515,513,9
44812,516,511,10
44828,524,512,10
44843,524,513,9
44860,509,512,10
44874,514,512,9
44891,523,513,10
44907,506,513,10
44923,513,513,10
44938,509,512,10
44954,507,512,10
44970,508,513,10
44986,507,512,10
45002,509,512,11
45017,509,512,12
45033,512,513,12
45048,508,512,9
45064,509,513,9
45080,509,512,10
45095,515,513,9
45111,523,512,9
45127,526,513,9
45142,503,512,8
45159,522,513,10
45174,512,511,8
45190,482,514,9
45205,511,513,9
45222,516,512,10
45238,528,513,11
45254,511,511,10
45269,517,512,10
45285,518,512,11
45301,502,513,11
45317,511,512,11
45332,523,512,11
45348,503,513,10
45363,514,512,9
45380,514,512,10
45395,509,512,10
45411,510,512,10
45427,512,512,10
45443,510,512,11
45459,510,513,12
45474,510,512,10
45490,510,513,10
45506,531,513,10
45522,516,513,11
45537,504,513,10
45553,502,512,10
45569,515,512,10
45584,508,512,9
45600,501,512,10
45616,532,513,11
45632,501,512,10
45648,505,514,11
45664,538,518,11
45679,527,515,10
45695,520,518,11
45711,516,514,11
45727,506,513,11
45742,512,512,10
45758,513,512,10
45774,508,512,11
45790,509,514,11
45806,513,514,11
45821,508,513,11
45837,514,513,10
45853,511,513,10
45869,509,514,11
45884,514,512,10
45900,512,513,11
45916,513,512,11
45932,513,512,10
45947,511,513,11
45963,512,512,10
45979,511,512,10
45995,513,512,10
46011,513,513,10
46026,513,513,10
46042,516,511,10
46058,513,512,10
46074,517,512,10
46089,516,513,10
46105,508,513,10
46121,518,513,11
46137,509,513,11
46153,510,513,11
46168,511,513,11
46184,514,511,10
46200,511,512,10
46216,512,513,11
46231,512,513,11
46247,511,512,11
46263,514,512,11
46279,512,513,11
46294,508,512,10
46310,509,513,10
46326,518,513,10
46342,508,512,10
46358,500,512,10
46373,517,513,10
46389,499,513,10
46405,509,512,10
46421,525,513,11
46436,501,513,11
46452,511,511,11
46468,508,513,10
46484,512,513,11
46500,514,513,11
46515,511,511,12
46531,510,512,11
46547,514,513,11
46563,515,513,11
46578,519,512,11
46594,515,512,10
46610,516,512,10
46626,517,512,10
46642,512,512,10
46657,522,512,10
46673,505,513,11
46689,513,513,11
46705,514,512,10
46720,511,511,10
46736,507,513,11
46752,507,513,11
46768,511,513,11
46783,511,513,10
46799,511,513,11
46815,514,512,10
46831,512,512,11
46847,509,512,11
46862,514,512,11
46878,511,512,10
46894,507,512,10
46910,508,511,11
46925,508,513,11
46941,517,512,11
46957,522,513,11
46973,498,513,10
46988,517,512,11
47004,513,513,11
47020,518,513,11
47036,510,512,10
47052,512,512,11
47067,513,512,10
47083,515,512,10
47099,507,512,10
47115,501,512,12
47130,500,513,12
47146,528,513,12
47162,524,512,10
47178,523,512,10
47194,513,511,11
47209,512,512,10
47225,521,513,10
47241,512,512,10
47257,515,512,11
47272,512,511,11
47288,513,511,10
47304,515,514,10
47320,508,512,10
47336,503,513,11
47351,505,512,11
47367,507,512,10
47383,511,513,10
47399,513,512,10
47414,510,513,11
47430,514,513,12
47446,511,513,11
47462,509,511,11
47477,508,512,11
47493,508,512,10
47509,512,511,10
47525,514,512,10
47541,523,512,11
47556,513,512,11
47572,517,512,10
47588,508,513,11
47604,485,513,11
47619,529,511,11
47635,506,513,12
47651,513,512,10
47667,511,513,11
47682,501,512,11
47698,510,513,11
47713,513,512,9
47730,496,512,10
47746,505,512,11
47761,519,512,11
47777,532,513,10
47793,526,512,10
47809,513,512,10
47824,516,511,10
47840,518,512,11
47856,508,513,12
47872,513,512,10
47888,517,513,10
47903,521,512,10
47919,506,512,11
47935,505,512,10
47951,506,512,10
47966,507,513,11
47982,510,512,10
47998,511,512,10
48014,513,512,11
48029,515,512,12
48045,512,513,11
48061,510,512,10
48077,509,511,11
48093,508,512,11
48108,513,511,10
48124,513,512,10
48140,517,512,10
48156,526,512,10
48171,509,513,10
48187,497,512,10
48203,522,512,10
48219,507,514,12
48234,514,512,11
48250,507,511,11
48266,519,513,11
48282,518,512,10
48298,513,513,10
48313,496,513,10
48329,501,513,11
48345,510,512,12
48361,520,511,12
48376,531,513,11
48392,521,513,11
48408,512,511,10
48424,511,513,10
48440,514,512,11
48455,513,512,11
48471,515,512,10
48487,511,513,10
48503,517,512,10
48517,509,512,9
48534,503,512,11
48550,505,513,11
48566,508,514,10
48581,512,512,10
48597,514,512,10
48612,516,512,9
48629,512,512,10
48645,510,512,10
48660,509,512,11
48676,510,513,10
48691,508,512,9
48708,510,513,10
56589,á
